id,city,x,y,z
436,Rehburg-Loccum,9.232,52.474,33.0
437,Reichelsheim-Odw,8.84,49.717,230.0
438,Reichenbach,11.87,50.863,350.0
439,Reichersbeuern,11.633,47.757,703.0
440,Riedstadt,8.454,49.841,88.0
441,Roding-OT-Piendling,12.534,49.215,381.0
442,Rosendahl-Darfeld,7.267,52.027,100.0
443,Rot-A-D.-Rot,10.037,48.016,602.0
444,R?benau,13.298,50.598,695.0
445,Saarbr?cken-Ensheim,7.107,49.212,320.0
446,Schalkau,10.999,50.393,389.0
447,Schleswig,9.549,54.527,30.0
448,Schlo?-Holte-Stukenbrock,8.66,51.916,140.0
449,Schnakenbek,10.494,53.39,50.0
450,Sch?ppingen,7.228,52.097,158.0
451,Schutterwald,7.888,48.448,100.0
452,Seinsheim,10.224,49.642,240.0
453,Senden,7.48,51.853,60.0
454,Sommersdorf,14.177,53.285,70.0
455,Sommersdorf,11.073,52.169,136.0
456,Speyer,8.446,49.309,95.0
457,Spiekeroog,7.691,53.774,10.0
458,Stolpe,13.246,52.644,40.0
459,Stolpe,14.145,52.986,4.0
460,Strande,10.172,54.443,30.0
461,Stromberg,7.789,49.947,310.0
462,Sulz-OT-D?rrenmettstetten,8.576,48.388,670.0
463,Tann-Rh?n,10.021,50.649,430.0
464,Tannenberg,10.79,47.783,802.0
465,Th?ngersheim,9.841,49.882,170.0
466,Torgelow,14.016,53.638,12.0
467,Ursensollen,11.745,49.403,549.0
468,Vechelde-OT-Gr.Gleidingen,10.418,52.228,0.0
469,Vechta,8.286,52.707,40.0
470,Viersen,6.374,51.268,54.0
471,Waidhaus,12.503,49.635,501.0
472,Waldenburg,12.585,50.879,266.0
473,Waren-M?ritz,12.665,53.52,70.0
474,Weibersbrunn,9.352,49.935,398.0
475,Wei?wasser,14.632,51.489,148.0
476,Wernigerode,10.768,51.845,234.0
477,Wilgartswiesen,7.898,49.22,203.0
478,Woldegk,13.575,53.46,125.0
479,Zwenkau,12.323,51.222,121.0
480,Arjrs,11.593,49.865,704.008
481,Ftiak,9.033,52.091,74.178
482,Gifiq,12.267,53.831,155.267
483,Vuwkl,9.000,52.336,64.268
484,Cooux,11.743,52.842,910.894
485,Apywq,7.902,50.901,436.321
486,Nfrtm,10.389,50.491,845.994
